"dep","dur","mem","jour","temp","prec","pointe"
2021-05-21 08:50:39,803,0,"vendredi",25.3,0,1
2021-05-14 09:22:47,1846,0,"vendredi",17.8,0,1
2021-05-14 08:33:42,1343,0,"vendredi",17.8,0,1
2021-05-21 09:53:22,412,0,"vendredi",25.3,0,1
2021-05-07 08:37:11,761,0,"vendredi",9.7,0,1
2021-05-07 13:04:50,326,0,"vendredi",9.7,0,3
2021-05-07 15:00:25,636,0,"vendredi",9.7,0,3
2021-05-14 19:52:51,4508,0,"vendredi",17.8,0,3
2021-05-28 20:38:24,417,0,"vendredi",7.8,0,3
2021-05-14 12:52:37,1059,0,"vendredi",17.8,0,3
2021-05-07 17:36:54,1561,0,"vendredi",9.7,0,2
2021-05-07 18:20:24,937,0,"vendredi",9.7,0,2
2021-05-28 18:08:04,492,0,"vendredi",7.8,0,2
2021-05-28 17:55:09,1127,0,"vendredi",7.8,0,2
2021-05-14 16:08:49,944,0,"vendredi",17.8,0,2
2021-06-25 08:46:56,980,0,"vendredi",22.2,0,1
2021-06-25 07:01:31,1800,0,"vendredi",22.2,0,1
2021-06-25 06:43:08,299,0,"vendredi",22.2,0,1
2021-06-11 08:50:56,982,0,"vendredi",19.7,0.2,1
2021-06-11 08:43:15,999,0,"vendredi",19.7,0.2,1
2021-06-04 11:07:58,671,0,"vendredi",22,0,3
2021-06-25 19:12:38,594,0,"vendredi",22.2,0,3
2021-06-11 23:13:18,312,0,"vendredi",19.7,0.2,3
2021-06-25 00:34:56,1586,0,"vendredi",22.2,0,3
2021-06-25 01:11:32,212,0,"vendredi",22.2,0,3
2021-06-11 15:32:11,2113,0,"vendredi",19.7,0.2,2
2021-06-04 15:11:47,603,0,"vendredi",22,0,2
2021-06-04 17:51:29,959,0,"vendredi",22,0,2
2021-06-11 16:52:57,1387,0,"vendredi",19.7,0.2,2
2021-06-18 18:07:23,1970,0,"vendredi",21.2,4.8,2
2021-07-30 09:16:21,375,0,"vendredi",16.5,0,1
2021-07-30 08:23:32,943,0,"vendredi",16.5,0,1
2021-07-09 06:35:25,137,0,"vendredi",18.1,0,1
2021-07-30 08:50:12,333,0,"vendredi",16.5,0,1
2021-07-02 07:10:54,464,0,"vendredi",17.6,0,1
2021-07-30 10:29:01,1209,0,"vendredi",16.5,0,3
2021-07-02 21:48:06,1909,0,"vendredi",17.6,0,3
2021-07-30 21:06:59,3724,0,"vendredi",16.5,0,3
2021-07-23 14:55:59,913,0,"vendredi",21,0,3
2021-07-30 13:31:13,422,0,"vendredi",16.5,0,3
2021-07-02 18:33:55,1081,0,"vendredi",17.6,0,2
2021-07-09 18:43:50,1692,0,"vendredi",18.1,0,2
2021-07-16 17:35:53,226,0,"vendredi",22,0,2
2021-07-16 18:36:33,1180,0,"vendredi",22,0,2
2021-07-30 15:48:57,643,0,"vendredi",16.5,0,2
2021-08-06 09:22:51,334,0,"vendredi",25.1,0.2,1
2021-08-20 08:52:24,204,0,"vendredi",25.9,0,1
2021-08-20 09:15:53,1433,0,"vendredi",25.9,0,1
2021-08-27 09:30:22,846,0,"vendredi",21.2,0,1
2021-08-27 09:54:02,1295,0,"vendredi",21.2,0,1
2021-08-13 01:44:18,1663,0,"vendredi",27,0.2,3
2021-08-27 22:56:48,5033,0,"vendredi",21.2,0,3
2021-08-06 12:54:45,730,0,"vendredi",25.1,0.2,3
2021-08-06 13:32:12,991,0,"vendredi",25.1,0.2,3
2021-08-06 13:41:29,735,0,"vendredi",25.1,0.2,3
2021-08-20 17:09:01,1902,0,"vendredi",25.9,0,2
2021-08-06 18:02:35,847,0,"vendredi",25.1,0.2,2
2021-08-06 15:39:37,615,0,"vendredi",25.1,0.2,2
