"dep","dur","mem","jour","temp","prec","pointe"
2021-05-21 09:25:41,443,0,"vendredi",25.3,0,1
2021-05-21 08:27:25,681,0,"vendredi",25.3,0,1
2021-05-07 07:04:24,428,0,"vendredi",9.7,0,1
2021-05-07 07:53:17,2290,0,"vendredi",9.7,0,1
2021-05-07 07:56:45,2411,0,"vendredi",9.7,0,1
2021-05-14 12:19:12,2673,0,"vendredi",17.8,0,3
2021-05-14 19:06:38,187,0,"vendredi",17.8,0,3
2021-05-28 19:11:35,937,0,"vendredi",7.8,0,3
2021-05-28 21:46:44,1238,0,"vendredi",7.8,0,3
2021-05-21 21:24:44,882,0,"vendredi",25.3,0,3
2021-05-21 18:19:46,460,0,"vendredi",25.3,0,2
2021-05-21 15:02:28,557,0,"vendredi",25.3,0,2
2021-05-14 18:44:21,606,0,"vendredi",17.8,0,2
2021-05-07 16:47:28,801,0,"vendredi",9.7,0,2
2021-05-21 15:41:35,85,0,"vendredi",25.3,0,2
2021-06-18 07:56:10,758,0,"vendredi",21.2,4.8,1
2021-06-11 07:35:45,969,0,"vendredi",19.7,0.2,1
2021-06-25 07:45:58,449,0,"vendredi",22.2,0,1
2021-06-11 08:45:04,1062,0,"vendredi",19.7,0.2,1
2021-06-25 07:32:34,1289,0,"vendredi",22.2,0,1
2021-06-11 22:47:35,508,0,"vendredi",19.7,0.2,3
2021-06-25 23:21:08,526,0,"vendredi",22.2,0,3
2021-06-25 14:31:51,3384,0,"vendredi",22.2,0,3
2021-06-04 20:05:11,319,0,"vendredi",22,0,3
2021-06-25 00:04:37,1244,0,"vendredi",22.2,0,3
2021-06-25 17:26:01,1019,0,"vendredi",22.2,0,2
2021-06-04 18:08:59,1420,0,"vendredi",22,0,2
2021-06-18 18:02:00,231,0,"vendredi",21.2,4.8,2
2021-06-25 16:23:47,3760,0,"vendredi",22.2,0,2
2021-06-04 17:13:07,523,0,"vendredi",22,0,2
2021-07-23 07:57:29,2053,0,"vendredi",21,0,1
2021-07-16 08:35:27,1042,0,"vendredi",22,0,1
2021-07-23 08:40:30,1469,0,"vendredi",21,0,1
2021-07-30 08:20:12,1669,0,"vendredi",16.5,0,1
2021-07-23 08:47:51,4333,0,"vendredi",21,0,1
2021-07-23 13:41:08,270,0,"vendredi",21,0,3
2021-07-23 14:15:39,1665,0,"vendredi",21,0,3
2021-07-30 21:03:37,1520,0,"vendredi",16.5,0,3
2021-07-16 22:58:05,1168,0,"vendredi",22,0,3
2021-07-30 01:00:28,613,0,"vendredi",16.5,0,3
2021-07-02 15:29:44,1819,0,"vendredi",17.6,0,2
2021-07-30 17:22:18,1270,0,"vendredi",16.5,0,2
2021-07-23 15:11:13,1105,0,"vendredi",21,0,2
2021-07-02 17:00:18,327,0,"vendredi",17.6,0,2
2021-07-02 18:43:49,877,0,"vendredi",17.6,0,2
2021-08-06 07:39:31,486,0,"vendredi",25.1,0.2,1
